leage,team,Gls,No.Pl,no.sh,SoT,PK,FK,Att 3rd.T,Succ.Drib,Att.Drib,Touches,Prog.T,GCA.Drib,ShortAT_Pass,MediumtAT_Pass,LongAT_Pass
Bundesliga,Union Berlin,50,28,408,149,5,7,3831,244,413,18437,845,6,5080,5871,2914
Bundesliga,Wolfsburg,42,30,416,137,3,19,3969,319,541,20305,949,3,5882,6785,2774
SerieA,Atalanta,62,32,598,167,5,16,7434,372,679,25438,1323,8,9367,7835,2760
SerieA,Bologna,43,36,434,143,4,14,4881,326,598,22039,890,2,7925,6436,2702
SerieA,Cagliari,34,33,420,117,3,17,4382,252,479,19741,763,2,5714,5957,3147
SerieA,Empoli,47,28,490,151,7,16,5162,291,547,20728,1087,5,6362,6695,2560
SerieA,Fiorentina,59,28,501,172,9,25,5703,301,542,24274,1080,3,7448,9133,3482
SerieA,Genoa,26,40,397,106,6,12,4459,302,581,20108,833,5,6154,5630,2719
SerieA,Hellas Verona,63,31,455,152,7,15,5375,313,590,21609,1093,5,7199,6178,2728
SerieA,Inter,83,27,667,239,7,13,6499,255,471,25529,1288,4,8994,8750,3033
SerieA,Juventus,56,32,517,166,5,18,5243,367,637,23769,1068,9,7513,8335,3048
SerieA,Lazio,74,27,445,185,7,14,5670,334,610,26713,1042,12,10872,8150,2620
SerieA,Milan,66,28,592,187,5,23,5979,456,779,23360,1117,7,7777,7647,2874
SerieA,Napoli,74,27,565,186,10,25,6320,357,595,26424,1152,3,11215,7820,2509
SerieA,Roma,58,29,592,184,7,21,5283,331,631,22758,1170,9,7018,7898,3044
SerieA,Salernitana,32,42,426,130,4,20,4354,314,586,18535,726,3,5744,5155,2552
SerieA,Sampdoria,42,34,386,118,2,12,4331,228,422,20845,915,3,6565,6436,2904
SerieA,Sassuolo,60,29,569,204,7,14,5259,403,678,24243,1137,10,8959,7443,2681
SerieA,Spezia,38,30,381,127,3,17,4121,292,546,19562,725,3,6112,5591,2833
SerieA,Torino,43,31,470,142,6,16,5633,295,512,22075,879,6,7220,6933,2885
SerieA,Udinese,58,29,505,181,3,19,4780,363,680,19463,844,8,6357,5570,2322
SerieA,Venezia,34,39,349,113,3,22,3885,300,577,19554,768,1,5783,5800,2780
