,,,# Pl,90s,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types, ,url
,,,,,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,
league,season,team,,,,,,,,,,,,,,,,,,,
ITA-Serie A,2021,Crotone,31,38,630,16.58,431,53,55,29,40,22,74,1.95,43,6,9,5,8,3,/en/squads/3074d7b1/2020-2021/Crotone-Stats
ITA-Serie A,2021,Fiorentina,30,38,651,17.13,461,70,29,26,49,16,76,2,52,5,4,6,9,0,/en/squads/421387cf/2020-2021/Fiorentina-Stats
ITA-Serie A,2021,Genoa,34,38,586,15.42,430,38,39,35,22,22,72,1.89,53,3,6,6,2,2,/en/squads/658bf2de/2020-2021/Genoa-Stats
ITA-Serie A,2021,Hellas Verona,32,38,699,18.39,487,75,33,34,48,22,70,1.84,53,3,6,3,4,1,/en/squads/0e72edf2/2020-2021/Hellas-Verona-Stats
ITA-Serie A,2021,Inter,25,38,980,25.79,743,75,45,55,38,24,147,3.87,112,6,8,12,8,1,/en/squads/d609edc0/2020-2021/Internazionale-Stats
ITA-Serie A,2021,Juventus,30,38,1054,27.74,765,86,73,67,46,17,135,3.55,93,4,13,14,6,5,/en/squads/e0652b02/2020-2021/Juventus-Stats
ITA-Serie A,2021,Lazio,30,38,937,24.66,722,51,46,55,33,30,103,2.71,75,1,7,9,9,2,/en/squads/7213da33/2020-2021/Lazio-Stats
ITA-Serie A,2021,Milan,29,38,985,25.92,674,86,53,75,75,22,128,3.37,84,10,5,10,15,4,/en/squads/dc56fe14/2020-2021/Milan-Stats
ITA-Serie A,2021,Napoli,25,38,1115,29.34,823,66,71,68,53,34,143,3.76,90,6,18,12,13,4,/en/squads/d48ad4ff/2020-2021/Napoli-Stats
ITA-Serie A,2021,Parma,42,38,701,18.45,486,60,49,38,42,26,74,1.95,51,4,6,3,6,4,/en/squads/eab4234c/2020-2021/Parma-Stats
ITA-Serie A,2021,Roma,31,38,946,24.89,684,70,65,69,32,26,122,3.21,89,8,10,6,6,3,/en/squads/cf74a709/2020-2021/Roma-Stats
ITA-Serie A,2021,Sampdoria,27,38,728,19.16,500,73,31,53,38,33,90,2.37,57,7,7,9,5,5,/en/squads/8ff9e3b3/2020-2021/Sampdoria-Stats
ITA-Serie A,2021,Sassuolo,28,38,941,24.76,688,61,65,52,53,22,107,2.82,70,5,6,9,14,3,/en/squads/e2befd26/2020-2021/Sassuolo-Stats
ITA-Serie A,2021,Spezia,35,38,670,17.63,479,55,32,47,29,28,90,2.37,57,8,3,12,6,4,/en/squads/68449f6d/2020-2021/Spezia-Stats
ITA-Serie A,2021,Torino,29,38,791,20.82,495,84,47,69,74,22,81,2.13,44,8,5,13,8,3,/en/squads/105360fe/2020-2021/Torino-Stats
ITA-Serie A,2021,Udinese,33,38,705,18.55,503,53,44,42,44,19,68,1.79,45,3,9,5,5,1,/en/squads/04eea015/2020-2021/Udinese-Stats
