,,,# Pl,90s,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected,url
,,,,,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,
league,season,team,,,,,,,,,,,,,,,,,,,,
GER-Bundesliga,2021,Stuttgart,29,34.0,54,448,150,33.5,13.18,4.41,0.11,0.32,17.7,12,6,8,51.4,45.1,0.1,2.6,2.9,/en/squads/598bc722/2020-2021/Stuttgart-Stats
GER-Bundesliga,2021,Union Berlin,27,34.0,50,391,132,33.8,11.5,3.88,0.12,0.34,17.3,8,5,7,46.9,41.3,0.11,3.1,3.7,/en/squads/7a41008f/2020-2021/Union-Berlin-Stats
GER-Bundesliga,2021,Werder Bremen,27,34.0,35,356,120,33.7,10.47,3.53,0.08,0.25,19.0,14,5,5,32.9,29.0,0.08,2.1,1.0,/en/squads/62add3bf/2020-2021/Werder-Bremen-Stats
GER-Bundesliga,2021,Wolfsburg,26,34.0,57,475,164,34.5,13.97,4.82,0.12,0.34,18.1,14,2,3,49.0,46.9,0.1,8.0,8.1,/en/squads/4eaa11d7/2020-2021/Wolfsburg-Stats
ITA-Serie A,2021,Atalanta,30,38.0,90,614,221,36.0,16.16,5.82,0.14,0.38,16.6,28,6,7,74.7,69.3,0.12,15.3,14.7,/en/squads/922493f3/2020-2021/Atalanta-Stats
ITA-Serie A,2021,Benevento,29,38.0,40,411,128,31.1,10.82,3.37,0.09,0.27,17.7,17,5,7,40.6,35.0,0.09,-0.6,0.0,/en/squads/4fcb34fd/2020-2021/Benevento-Stats
ITA-Serie A,2021,Bologna,37,38.0,49,495,175,35.4,13.03,4.61,0.09,0.26,18.5,24,3,4,54.6,51.1,0.11,-5.6,-5.1,/en/squads/1d8099f8/2020-2021/Bologna-Stats
ITA-Serie A,2021,Cagliari,32,38.0,43,429,122,28.4,11.29,3.21,0.09,0.32,17.4,13,4,5,47.1,43.4,0.1,-4.1,-4.4,/en/squads/c4260e09/2020-2021/Cagliari-Stats
ITA-Serie A,2021,Crotone,31,38.0,44,353,111,31.4,9.29,2.92,0.1,0.32,18.8,15,9,9,40.4,33.4,0.1,3.6,1.6,/en/squads/3074d7b1/2020-2021/Crotone-Stats
ITA-Serie A,2021,Fiorentina,30,38.0,44,366,115,31.4,9.63,3.03,0.1,0.33,16.9,14,6,6,44.9,40.2,0.11,-0.9,-2.2,/en/squads/421387cf/2020-2021/Fiorentina-Stats
